0000,9009,9C6D,06C1
0002,900B,A7E7,3C70
0003,900A,7CCD,5671
0004,900D,5C2D,3270
0005,900C,4C67,0CC1
0006,900F,3727,12C0
0007,900E,ACE7,0EC1
0010,9019,7614,C65E
0011,9018,D3C9,C25E
0012,901B,3A29,3590
0013,901A,9C54,663E
0014,901D,66F4,A09C
0015,901C,D5C9,0651
0016,901F,A3E9,E06C
0017,901E,3129,0251
0018,9011,9754,1060
0019,9010,5704,5231
001A,9013,5C04,623E
001B,9012,A5E9,E56C
001C,9015,69F4,3090
001D,9014,4169,5631
001E,9017,7914,A59C
001F,9016,4A69,1560
0020,9029,5C2A,02E1
0021,9028,3726,22EF
0022,902B,DBC6,3EB0
0023,902A,6CEA,52B1
0024,902D,9E6A,42B2
0025,902C,3C26,0EE1
0026,902F,4B66,F2E2
0027,902E,DEC6,2EEF
0028,9021,67EA,FEE2
0029,9020,7BCA,9EBF
002A,9023,7ECA,92BF
002B,9022,4E66,12E0
002C,9025,9B6A,4EB2
002D,9024,ACE6,5EB1
002E,9027,572A,32B0
002F,9026,A7E6,1EE0
0030,9039,79A4,663A
0031,9038,B372,623A
0032,903B,1A82,1365
0033,903A,9734,C95A
0034,903D,69D4,E466
0035,903C,D379,5633
0036,903F,E3B2,A096
0037,903E,3A89,5233
0038,9031,273F,3095
0039,9030,074F,0853
003A,9033,5744,C85A
003B,9032,A3B9,A596
003C,9035,C9DF,1465
003D,9034,4A99,0953
003E,9037,89AF,E366
003F,9036,FA92,3595
0040,9049,69B3,628A
0041,9048,E9B0,728D
0042,904B,FB90,1825
0043,904A,5783,C82A
0044,904D,7873,B827
0045,904C,A9B5,5283
0046,904F,B870,D287
0047,904E,4B95,9284
0048,9041,0781,4289
0049,9040,2B91,2824
004A,9043,9B93,882D
004B,9042,D875,A286
004C,9045,8871,F829
004D,9044,3785,0823
004E,9047,C9B1,E826
004F,9046,1780,3285
0050,9059,574A,52D3
0051,9058,1A8C,92D4
0052,905B,BD7C,1DE5
0053,905A,67DA,08F3
0054,905D,9B3A,F4E9
0055,905C,3A86,5ED3
0056,905F,FD9C,40B9
0057,905E,DD76,9ED4
0058,9051,C7DE,4FB9
0059,9050,8BAE,2BF4
005A,9053,7BAA,28F4
005B,9052,4D96,30B5
005C,9055,2B3E,FDE9
005D,9054,AAB6,0BF3
005E,9057,074E,14E5
005F,9056,EABC,3FB5
0060,9069,76C4,C66E
0061,9068,D9C9,C26E
