0000,9009,3E07,FE40
0001,9008,4EAA,12D5
0002,900B,A26A,4A20
0003,900A,0207,4E20
0004,900D,FEFA,E0B9
0005,900C,E2AA,4A86
0006,900F,02DA,E2B9
0007,900E,12E7,FA76
0008,9001,12FA,4E86
0009,9000,FEE7,FA40
000A,9003,4EC7,1009
000B,9002,6EB7,E065
000C,9005,6E6A,E265
000D,9004,A2B7,FE76
000E,9007,3EDA,1209
000F,9006,E2C7,10D5
0010,9019,0C4A,F346
0011,9018,DE5A,B245
0012,901B,8EB4,4D26
0013,901A,0C04,4326
0014,901D,BE1A,ED25
0015,901C,DEC4,9026
0016,901F,CE04,E325
0017,901E,1CE4,2046
0018,9011,BEE4,9226
0019,9010,1C1A,FD46
001A,9013,EC5A,1D45
001B,9012,AC2A,D025
001C,9015,8E2A,D225
001D,9014,ACB4,2246
001E,9017,CE4A,1345
001F,9016,ECC4,B045
0020,9029,6EBC,4E22
0021,9028,F4F1,E26F
0022,902B,07D1,F542
0023,902A,A2BC,F442
0024,902D,4EA1,1B0D
0025,902C,17F1,F573
0026,902F,A261,170D
0027,902E,E2CC,4A83
0028,9021,E2A1,F473
0029,9020,4ECC,4A22
002A,9023,F4EC,E0BD
002B,9022,340C,1BDF
002C,9025,34D1,17DF
002D,9024,070C,4E83
002E,9027,6E61,E2BD
002F,9026,17EC,E06F
0030,9039,1C16,FD16
0031,9038,8A26,B015
0032,903B,DEC5,6D5A
0033,903A,1CE5,4D56
0034,903D,CA46,AD54
0035,903C,8AB5,705A
0036,903F,BEE5,ED55
0037,903E,0905,501A
0038,9031,CA05,9056
0039,9030,0946,3D1A
003A,9033,A926,0D14
003B,9032,EC56,8054
003C,9035,DE56,D055
003D,9034,ECC5,2016
003E,9037,BE16,1D15
003F,9036,A9B5,C014
0040,9049,EE52,4052
0041,9048,0573,E09F
0042,904B,14FF,3B1C
0043,904A,EECD,FB12
0044,904D,AA83,0B18
0045,904C,05DF,3B31
0046,904F,EEAF,1B1D
0047,904E,AABD,6091
0048,9041,AA6F,FB33
0049,9040,AA22,605C
004A,9043,0542,A058
004B,9042,1412,0B3B
004C,9045,1433,1B3F
004D,9044,14ED,4093
004E,9047,EE93,E05D
004F,9046,050D,A09B
0050,9059,4CC3,4953
0051,9058,5503,D0CF
0052,905B,B7E3,3F11
0053,905A,E3C3,FF13
0054,905D,7AB3,06EB
0055,905C,CB03,5511
0056,905F,D2C3,16EF
0057,905E,ADB3,7A51
0058,9051,80B3,2513
0059,9050,69B3,6951
005A,9053,3F03,ADCB
005B,9052,F8E3,CBEB
005C,9055,24E3,BBEF
005D,9054,11E3,9A53
005E,9057,9EC3,EDCF
005F,9056,0603,80CB
0060,9069,FCE6,F916
0061,9068,7AB6,B0E5
0062,906B,D2C6,695A
0063,906A,13E6,4956
0064,906D,5A06,ADC4
0065,906C,80B6,7A5A
0066,906F,B2E6,EDC5
0067,906E,0D06,5A1A
0068,9061,C006,9A56
0069,9060,3906,391A
006A,9063,69B6,0DE4
006B,9062,4CC6,80C4
006C,9065,9EC6,D0C5
006D,9064,E3C6,2A16
006E,9067,2EE6,1DE5
006F,9066,ADB6,C0E4
0070,9079,3C0A,FC46
0071,9078,9ECA,B205
0072,907B,82BA,4926
0073,907A,030A,4C26
0074,907D,2EEA,EDB5
0075,907C,D2CA,9A26
0076,907F,C20A,E3B5
0077,907E,13EA,2A46
0078,9071,B2EA,9E26
0079,9070,FCEA,F946
007A,9073,4CCA,1D05
007B,9072,6CBA,D0B5
007C,9075,7EBA,D2B5
007D,9074,A3BA,2E46
007E,9077,5E0A,1305
007F,9076,E3CA,B005
0080,9089,4EC2,4A52
0081,9088,35D3,E0AF
0082,908B,17F3,351C
0083,908A,E2C2,F512
0084,908D,6A63,0BE8
0085,908C,0BD3,3531
0086,908F,E2A3,1BED
0087,908E,A0B2,6A91
0088,9081,A063,F533
0089,9080,6AB2,6A5C
008A,9083,3502,A0C8
008B,9082,F4E2,0BFB
008C,9085,F4F3,1BFF
008D,9084,17E2,4A93
008E,9087,4EA3,E0CD
008F,9086,0B02,A0AB
0090,9099,1E10,F010
0091,9098,AA86,1035
0092,909B,EEA5,6057
0093,909A,1EE9,4050
0094,909D,0A76,A05E
0095,909C,AA65,609A
0096,909F,1EF5,E059
0097,909E,0A09,303A
0098,9091,0AD5,4096
0099,9090,0A40,3017
009A,9093,AA20,001E
009B,9092,EE50,A094
009C,9095,EE96,E095
009D,9094,EEC9,F036
009E,9097,1E36,1019
009F,9096,AAB9,0034
00A0,90A9,AE2C,4222
00A1,90A8,1431,E28F
00A2,90AB,04DB,FB42
00A3,90AA,AEB8,F742
00A4,90AD,EE91,1B4D
00A5,90AC,14FB,FB73
00A6,90AF,AE6B,174D
00A7,90AE,EEC8,4083
00A8,90A1,EEAB,F773
00A9,90A0,EE5C,4022
00AA,90A3,141C,E02D
00AB,90A2,044C,1B7F
00AC,90A5,0471,177F
00AD,90A4,0408,4283
00AE,90A7,AE81,E22D
00AF,90A6,14E8,E08F
00B0,90B9,EC53,4D53
00B1,90B8,C543,D05F
00B2,90BB,B4EF,3611
00B3,90BA,ECCF,F613
00B4,90BD,8A23,061B
00B5,90BC,C50F,5B11
00B6,90BF,DECF,161F
